bidder_id,outcome,nb0fCountry,nb0fIP,nb0fURL,nb0fDevice,nb0fAuction,nb0fBids,nb0fMerch,nb0fPayAcc,nb0fAdress,nb0fUniqueCountry,nb0fUniqueIP,nb0fUniqueURL,nb0fUniqueDevice,nb0fUniqueAuction,nb0fUniqueBids,nb0fUniqueMerch,nb0fUniquePayAcc,nb0fUniqueAdress,jewelry,furniture,home goods,mobile,sporting goods,office equipment,computers,books and music,clothing,auto parts,nb0fBidsOnSelf,meanBidsPerAuction,stdBidsPerAuction,meanBidsPerCountry,stdBidsPerCountry,meanBidsPerDevice,stdBidsPerDevice
68d468e15e0de0bab9694cdca8e799eb2j8kn,1.0,281,281,281,281,281,281,281,1,1,2,8,7,1,26,281,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,10.807692307692308,14.913133086697057,140.5,166.17009357883867,281.0,0.0
64a39f766b2e9d9471b104f0d0289740a9kdq,0.0,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,1.0,0.0,1.0,0.0
f60edfe5177cab56896a9d6860995095cl1bb,0.0,3,3,3,3,3,3,3,1,1,2,3,2,2,2,3,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5,0.7071067811865476,1.5,0.7071067811865476,1.5,0.7071067811865476
e3ccc9bd16fa1f4a92fe87b4a54e5e72uficw,0.0,4539,4546,4546,4546,4546,4546,4546,1,1,55,2686,12,373,175,4546,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,25.97714285714286,86.42297442828036,82.52727272727273,439.0344141807304,12.187667560321715,67.75757036764051
481fdbc92e77bba4c9611841a7d74071elwx6,0.0,8,8,8,8,8,8,8,1,1,6,8,3,7,4,8,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,2.0,1.3333333333333333,0.5163977794943223,1.1428571428571428,0.37796447300922725
72bc07c7241e1856ba31609d11501c91cswlb,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,1.0,0.0,1.0,0.0
792edafa0603516a57932e6103e9dd54ajar7,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,1.0,0.0,1.0,0.0
d738b259ec6e6af625d1f41abcfd63e9e53tx,0.0,158,158,158,158,158,158,158,1,1,4,128,51,70,36,158,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.388888888888889,10.680496986236918,39.5,75.004444312765,2.257142857142857,2.3386216322262037
4dd2a50e589cde2802c4bab143dea61ak517w,0.0,3,3,3,3,3,3,3,1,1,1,3,1,1,2,3,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5,0.7071067811865476,3.0,0.0,3.0,0.0
fb92fc925c5df50f4da7874a7542cf2210z1f,0.0,34,34,34,34,34,34,34,1,1,5,25,1,8,17,34,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,2.1505813167606567,6.8,4.8166378315169185,4.25,3.4121631178560534
19815d9bcdc74c3ddfb9ff210c1739f3tup3i,0.0,22,22,22,22,22,22,22,1,1,3,22,1,11,13,22,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.6923076923076923,1.3774744634423888,7.333333333333333,4.163331998932266,2.0,1.61245154965971
91dcfc10da696a6d90966ff795751708er5fp,0.0,897,898,898,898,898,898,898,1,1,72,633,720,191,60,898,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14.966666666666667,28.95172291741901,12.458333333333334,36.11208587826066,4.701570680628272,9.598790913113072
bd586db332285f3c45814fbb8f638d79d26u7,0.0,61,62,62,62,62,62,62,1,1,7,53,8,28,44,62,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.4090909090909092,1.4029567086788746,8.714285714285714,11.996031089688033,2.2142857142857144,2.454883913030314
927c5e145de79f9ee2ada0ddc054b4e9hc3qj,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,1.0,0.0,1.0,0.0
a3c2ba79963b637f15086e6255a46253lwpnb,0.0,7,7,7,7,7,7,7,1,1,2,6,1,3,6,7,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.1666666666666667,0.408248290463863,3.5,3.5355339059327378,2.3333333333333335,2.3094010767585034
bcf95b210295831ff6e20db3a570f909n3q25,0.0,1577,1582,1582,1582,1582,1582,1582,1,1,60,1159,494,271,187,1582,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.459893048128341,70.37397984126069,26.283333333333335,135.19829650750447,5.837638376383764,11.96210932851153
85be8fd21f41bc3dee86597d272825726bp69,0.0,172,172,172,172,172,172,172,1,1,19,152,78,78,36,172,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.777777777777778,5.943116599952832,9.052631578947368,20.438182361590137,2.2051282051282053,2.0152597999444284
59ae36080fae26bccbbc31a4505b6fb3v3zjy,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,1.0,0.0,1.0,0.0
ef24ca4be7ccbd6ec68d4ea9f47c9e8ex1g09,0.0,3,3,3,3,3,3,3,1,1,1,2,2,2,3,3,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,3.0,0.0,1.5,0.7071067811865476
1cbd9081de4481ada66f1853737f7684ddjd1,1.0,1103,1103,1103,1103,1103,1103,1103,1,1,29,836,4,4,107,1103,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.30841121495327,21.180006242517493,38.03448275862069,88.10930012474793,275.75,418.6465295051025
e78cb9678684d649453cd5e1e46baf462lq87,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,1.0,0.0,1.0,0.0
2307bb06855a6fe75ab56ee6b4a3860835di5,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,1.0,0.0,1.0,0.0
6394edfbd35aab54801518835e33ed50hcr5f,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,1.0,0.0,1.0,0.0
68600b8922561fe26b8b6acf1d11efdfb24k7,0.0,204,204,204,204,204,204,204,1,1,9,112,54,94,7,204,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,29.142857142857142,41.32565212806114,22.666666666666668,63.12883651707831,2.1702127659574466,2.88726643750202
dadbcec8b02ac75c5935f419b318ceca1wwjw,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,1.0,0.0,1.0,0.0
c5babbaace35399cf51a9356bbc22733xpi5h,0.0,8,8,8,8,8,8,8,1,1,2,8,2,6,7,8,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.1428571428571428,0.3779644730092273,4.0,4.242640687119285,1.3333333333333333,0.816496580927726
09d71d3e6a6871a7598dc2764c5bb4ffkz6mc,0.0,11,11,11,11,11,11,11,1,1,5,5,1,4,9,11,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.2222222222222223,0.4409585518440984,2.2,1.6431676725154984,2.75,0.9574271077563381
af98b7d5a7c1ccd2968252a2fb1c06f69igbv,0.0,6,6,6,6,6,6,6,1,1,4,6,5,4,3,6,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,1.7320508075688772,1.5,1.0,1.5,0.5773502691896257
96b90af2d3eea4d3b2bc725e1c92e212qu52g,1.0,6127,6127,6127,6127,6127,6127,6127,1,1,8,3047,58,195,332,6127,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,18.454819277108435,50.53096691324827,765.875,1511.7917881488463,31.42051282051282,154.4080068090576
8e1f8e5907b3cc256a2a57ae9ac81e063gbz4,0.0,3,3,3,3,3,3,3,1,1,3,3,3,3,1,3,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,,1.0,0.0,1.0,0.0
02bde521e763e4f4e590e8368149e04a96il9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
6ecd9f4b332eb790dc933aea0a1528e2qkp4y,0.0,4,4,4,4,4,4,4,1,1,1,2,1,1,3,4,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.3333333333333333,0.5773502691896257,4.0,0.0,4.0,0.0
f769b9f92260ecf046efd05bf9ab6822j7c02,0.0,242,242,242,242,242,242,242,1,1,34,201,112,100,122,242,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.9836065573770492,1.7391154137767804,7.117647058823529,26.03117560516254,2.42,2.674911496695078
4c4431ec9b6e683bdc5a3118d5140105r1nas,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,1.0,0.0,1.0,0.0
